Mã PKKH,Mã khách hàng,Total Days
C3,CUZ00194,0.0
B2,CUZ00195,0.0
C1,CUZ00196,0.0
A3,CUZ00197,0.0
B2,CUZ00198,0.0
A2,CUZ00199,0.0
B1,CUZ00200,0.0
C2,CUZ00201,0.0
A3,CUZ00202,0.0
C1,CUZ00203,0.0
B3,CUZ00204,0.0
B1,CUZ00205,0.0
C1,CUZ00206,0.0
A1,CUZ00207,28.8
A3,CUZ00208,0.0
C1,CUZ00209,0.0
B3,CUZ00210,0.0
B1,CUZ00211,0.0
B2,CUZ00212,0.0
A1,CUZ00213,63.2
A2,CUZ00214,0.0
C3,CUZ00215,0.0
C1,CUZ00216,0.0
A2,CUZ00217,0.0
C1,CUZ00218,0.0
A1,CUZ00219,0.0
A3,CUZ00220,0.0
A1,CUZ00221,123.5
A2,CUZ00222,0.0
C1,CUZ00223,0.0
C3,CUZ00224,0.0
B1,CUZ00225,0.0
A1,CUZ00226,86.5
C2,CUZ00227,0.0
A1,CUZ00228,0.0
C1,CUZ00229,0.0
B2,CUZ00230,0.0
B2,CUZ00231,0.0
C3,CUZ00232,0.0
C2,CUZ00233,0.0
B3,CUZ00234,0.0
A3,CUZ00235,0.0
A3,CUZ00236,0.0
B2,CUZ00237,0.0
A1,CUZ00238,0.0
A1,CUZ00239,0.0
A2,CUZ00240,119.0
B3,CUZ00241,0.0
B3,CUZ00242,125.0
B1,CUZ00243,0.0
B3,CUZ00244,0.0
B2,CUZ00245,0.0
A1,CUZ00246,60.0
A1,CUZ00247,61.5
A3,CUZ00248,0.0
C3,CUZ00249,0.0
C3,CUZ00250,0.0
B1,CUZ00251,0.0
A2,CUZ00252,0.0
A1,CUZ00253,56.0
A2,CUZ00254,0.0
A2,CUZ00255,165.5
A3,CUZ00256,0.0
C2,CUZ00257,0.0
C3,CUZ00258,0.0
B2,CUZ00259,0.0
C3,CUZ00260,0.0
B2,CUZ00261,0.0
C3,CUZ00262,0.0
B3,CUZ00263,0.0
C3,CUZ00264,0.0
C1,CUZ00265,0.0
B3,CUZ00266,0.0
B1,CUZ00267,0.0
C2,CUZ00268,0.0
C1,CUZ00269,0.0
A1,CUZ00270,0.0
A2,CUZ00271,0.0
A2,CUZ00272,0.0
B2,CUZ00273,0.0
A3,CUZ00274,0.0
A3,CUZ00275,0.0
A3,CUZ00276,0.0
A1,CUZ00277,44.0
B2,CUZ00278,0.0
B3,CUZ00279,0.0
A2,CUZ00280,0.0
B1,CUZ00281,108.3
A2,CUZ00282,0.0
C2,CUZ00283,0.0
B1,CUZ00284,0.0
C1,CUZ00285,0.0
A3,CUZ00286,132.0
B1,CUZ00287,0.0
B1,CUZ00288,0.0
A2,CUZ00289,0.0
A2,CUZ00290,0.0
C1,CUZ00291,0.0
A3,CUZ00292,0.0
B1,CUZ00293,0.0
A1,CUZ00294,0.0
A1,CUZ00295,0.0
B3,CUZ00296,0.0
A1,CUZ00297,0.0
C1,CUZ00298,0.0
B2,CUZ00299,0.0
B2,CUZ00300,0.0
B1,CUZ00301,0.0
A3,CUZ00302,0.0
A3,CUZ00303,0.0
B1,CUZ00304,0.0
B2,CUZ00305,0.0
A3,CUZ00306,0.0
C2,CUZ00307,0.0
B3,CUZ00308,0.0
A1,CUZ00309,0.0
A3,CUZ00310,0.0
A3,CUZ00311,0.0
A3,CUZ00312,0.0
C2,CUZ00313,0.0
B3,CUZ00314,0.0
A1,CUZ00315,0.0
B2,CUZ00316,0.0
B1,CUZ00317,0.0
A3,CUZ00318,0.0
A2,CUZ00319,0.0
A2,CUZ00320,0.0
A2,CUZ00321,0.0
C2,CUZ00322,0.0
A1,CUZ00323,0.0
C1,CUZ00324,0.0
C1,CUZ00325,0.0
A2,CUZ00326,0.0
A2,CUZ00327,0.0
C1,CUZ00328,0.0
B3,CUZ00329,0.0
A1,CUZ00330,34.9
A1,CUZ00331,36.3
B3,CUZ00332,0.0
B2,CUZ00333,0.0
A1,CUZ00334,0.0
A2,CUZ00335,0.0
A2,CUZ00336,0.0
A3,CUZ00337,0.0
A1,CUZ00338,0.0
C1,CUZ00339,0.0
A3,CUZ00340,0.0
A1,CUZ00341,62.0
C2,CUZ00342,0.0
C2,CUZ00343,0.0
A1,CUZ00344,78.0
C2,CUZ00345,0.0
B3,CUZ00346,0.0
A3,CUZ00347,0.0
C3,CUZ00348,0.0
A2,CUZ00349,95.0
A2,CUZ00350,0.0
B2,CUZ00351,0.0
A1,CUZ00352,0.0
A2,CUZ00353,0.0
A3,CUZ00354,0.0
C3,CUZ00355,0.0
A3,CUZ00356,0.0
C3,CUZ00357,0.0
B2,CUZ00358,0.0
A3,CUZ00359,0.0
A2,CUZ00360,0.0
A3,CUZ00361,0.0
A1,CUZ00362,0.0
A2,CUZ00363,0.0
A3,CUZ00364,70.0
B2,CUZ00365,0.0
C1,CUZ00366,0.0
B1,CUZ00367,0.0
C2,CUZ00368,0.0
A2,CUZ00369,0.0
B3,CUZ00370,0.0
B1,CUZ00371,0.0
C1,CUZ00372,0.0
A1,CUZ00373,80.5
A1,CUZ00374,33.0
B2,CUZ00375,0.0
C1,CUZ00376,0.0
A1,CUZ00377,0.0
C1,CUZ00378,0.0
A2,CUZ00379,0.0
A2,CUZ00380,0.0
